رابط المنتج,رابط الصورة,اسم المنتج,السعر,الوصف,المقاس
https://mlika-sa.com/rAYxqWX,https://cdn.salla.sa/nBKV/12bcc6f9-f25b-483e-b19b-a5ece5c14318-375.09377344336x500-ge9WcdrcV9lfkK9LUV5sIBePJt39dYmFWnLGzisD.jpg,سديري جوخ اسود - جملي,199 SAR,"سديري جوخ رجالي – تصميم فاخر يجمع بين الأصالة والعصرية، قابل للارتداء على الجهتين لإطلالات متعددة. مصنوع من جوخ عالي الجودة ليمنحك الدفء والأناقة، ويأتي بتغليف أنيق ليكون خيارًا مثاليًا للإهداء.

تفاصيل المنتج:
جوخ فاخر بجودة عالية.
تصميم مزدوج لإطلالات متنوعة.
جيوب جانبية عملية.
مثالي للإهداء.","
S
M
L
XL
2XL
3XL"
https://mlika-sa.com/VqdlmyK,https://cdn.salla.sa/nBKV/768351f4-7ad9-4ef4-9c83-e9c773c8ed64-500x500-WpJ1F3Wul86CLLGBHS3Olnkfy5GoFOjNpUKVBScw.jpg,شال شتوي بالاسم,160 SAR,"جديدنا شال نسائي شتوي من الصوف الفاخر بجودة عالية!

شال أنيق مع طاقية مميزة لتمنحك الدفء والأناقة في فصل الشتاء.🧣
مقاس موحد يناسب الجميع ☑️
ويمكنك طلب تطريز اسمك أو الحروف التي تفضلينها لإضافة لمسة خاصة وفريدة! 😍😍","
نعم
لا"
https://mlika-sa.com/qQzlgaQ,https://cdn.salla.sa/nBKV/VNmMZDSaFOwxlbKQQliyLQJidfZGnzaNS5LzCigP.jpg,سديري جوخ مع فرو,199 SAR,تألق هذا الشتاء بسديري جوخ رجالي فاخر بتصميم يدوي يجمع بين الأصالة والعصرية. مصنوع بجودة عالية ليصمد معك لفترات طويلة، مع جيوب جانبية لإضافة لمسة من العملية. سواء كنت تبحث عن إطلالة راقية لأمسياتك الشتوية أو قطعة أنيقة للمناسبات اليومية، هذا السديري سيكون خيارك الأول لإبراز شخصيتك الفريدة.,"
S
M
L
XL
2XL
3XL"
https://mlika-sa.com/RAgnYOo,https://cdn.salla.sa/nBKV/JaM8Fq74S9bjPqUNpRaga5SRRI55UaPrufi0HfzO.jpg,سديري اطفال - بني ، بيج,159 SAR,سديري جوخ للأطفال بتصميم عصري ومريح، مصنوع بجودة عالية لضمان الدفء والراحة طوال اليوم. مثالي للمناسبات والأنشطة اليومية مع جيوب جانبية لسهولة الاستخدام. إطلالة أنيقة وملفتة لطفلك في كل الأوقات.,"
1 سنه
2 سنه
3 سنه
4 سنه
5 سنه
6 سنه
7 سنه
8 سنه
9 سنه
10 سنه
11 سنه
12 سنه
13 سنه (20 ر.س)"
https://mlika-sa.com/rAvDZOr,https://cdn.salla.sa/nBKV/17d63e27-c98d-4f02-81a5-9bedc5adbef3-500x500-2Kgb63i8XrpWTVWJDsgGdWvarRcb19hbtT33jS4B.jpg,سديري رجالي قلاب اسود بيج,170 SAR,"سديري رجالي:
من متجر ملكة، صُنع خصيصًا لإرضائكم.

صناعة يدوية عالية الجودة
تصميم أنيق ومميز
مصنوع من أفخم أنواع الجوخ
قابل للارتداء من الجهتين
اختيار لوني مميز لتجديد إطلالتك

مزود بجيوب جانبية عملية كما هو موضح في الصورة
مناسب لجميع الأعمار والمناسبات
اختيار المقاس حسب الطلب","
S
M
L
XL
XXL
XXXL"
https://mlika-sa.com/wWgneVN,https://cdn.salla.sa/nBKV/e87fab9d-fad1-4e7a-b216-36e4f3bd3174-375x500-exdggQpAsT8wn8proMJ7UnMzY1qw1QR51FiYKzqk.jpg,شال شتوي بالاسم,149 SAR,"🧣 شال صوف نسائي شتوي مميز 🤩
مقاس موحد ☑️
تطريز مخصص حسب ذوقك 🎨
مجموعة ألوان رائعة 🌈

يجمع بين الدفء والأناقة في تصميم فريد!","
نعم
لا"
https://mlika-sa.com/NKGnRKG,https://cdn.salla.sa/nBKV/ea5179af-6902-4aab-8e07-85c3ce8b876f-375x500-As1ekdyE6Xwh1RwPRFB0r8QTg4WZIKfQwxRuSxMH.jpg,شال نسائي انيق,170 SAR,شال نسائي أنيق يجمع بين البساطة والرقي ليضفي لمسة ساحرة على إطلالتك اليومية أو مناسباتك الخاصة.,"
ذهبي
فضي
ابيض"
https://mlika-sa.com/dPeljEX,https://cdn.salla.sa/nBKV/2012c885-9e8b-4714-9d5d-d3c3ef03728e-500x487-fK8MS11lasZn8PRVqel861JPUVvjPifgBXOxJ8jm.jpg,سكارف نسائي متوفر ب 7 الوان مختلفه,170 SAR,"شالات شتوية بالاسم أنيقة تجمع بين الدفء والأناقة لإطلالة شتوية مميزة.

مقاس يناسب الجميع ☑️

يجمع بين الدفء والأناقة في تصميم فريد!","
نعم
لا"
https://mlika-sa.com/ZYweDEy,https://cdn.salla.sa/nBKV/6ae6f5cc-a391-42c1-aea4-e5994ad6b092-375x500-faAAZxSloYPLLETHKgCWz9z5KAb892kv2wmevlx7.jpg,شال نسائي شتوي بالاسم – بالوان متعددة,149 SAR,شال شتوي نسائي من صوف الكشمير الفاخر، بألوان متعددة وتطريز حسب الطلب لإضافة لمسة شخصية.,"
رمادي
اسود
كحلي
بيج"
https://mlika-sa.com/WlvQmxg,https://cdn.salla.sa/nBKV/6fa57aab-3347-4f49-8aae-a4cc6f3d9f62-375x500-uHsmeAQf5rSgPwhGSmMxOqtdqqAuVKzjCr6G2B2x.jpg,شال نسائي انيق بالاسم,170 SAR,"جديدنا شال نسائي شتوي فاخر مصنوع من الصوف عالي الجودة

مقاس موحد يناسب الجميع ☑️
إمكانية تطريز الأسماء أو الحروف حسب الطلب لإضافة لمسة شخصية مميزة


خدمة توصيل متاحة لجميع مناطق المملكة العربية السعودية.","
ذهبي
فضي
ابيض"
https://mlika-sa.com/PdYvPZV,https://cdn.salla.sa/nBKV/f2f0c1dd-5b39-415b-806f-b2b8889a32bf-375.09377344336x500-qdWjnDuHbKCXn4UR34kH9Aj1KmqZTgDq5xMVN0Iy.jpg,سديري جوخ بني - بيج,199 SAR,"سديري جوخ رجالي – تصميم فاخر يجمع بين الأصالة والعصرية، قابل للارتداء على الجهتين لإطلالات متعددة. مصنوع من جوخ عالي الجودة ليمنحك الدفء والأناقة، ويأتي بتغليف أنيق ليكون خيارًا مثاليًا للإهداء.

تفاصيل المنتج:
جوخ فاخر بجودة عالية.
تصميم مزدوج لإطلالات متنوعة.
جيوب جانبية عملية.
مثالي للإهداء.","
S
M
L
XL
2XL
3XL"
https://mlika-sa.com/dPldZjw,https://cdn.salla.sa/nBKV/4dfe8e9c-0b7b-4cb2-a970-de7dd6b24097-402.05562273277x500-zvlkSBG3qJXQCaJqYyg5ZU2rJNVVGXEHEiXomz68.jpg,"سديري وجهين كحلي - جملي ""جوخ""",199 SAR,"سديري جوخ رجالي – تصميم فاخر يجمع بين الأصالة والعصرية، قابل للارتداء على الجهتين لإطلالات متعددة. مصنوع من جوخ عالي الجودة ليمنحك الدفء والأناقة، ويأتي بتغليف أنيق ليكون خيارًا مثاليًا للإهداء.

تفاصيل المنتج:
جوخ فاخر بجودة عالية.
تصميم مزدوج لإطلالات متنوعة.
جيوب جانبية عملية.
مثالي للإهداء.","
S
M
L
XL
2XL
3XL"
https://mlika-sa.com/RABaKZj,https://cdn.salla.sa/nBKV/0b67f682-cc93-4a62-ab3f-dcc29afca179-333x500-8ceNA03oINME9ahKa1nc6pKWzClQF65kiHlh7y5U.jpg,سديري رجالي دبل فيس,180 SAR,"تمتع بتفردك بأجمل هدية تواكب أجواء شتاء سديري جوخ فاخر.

يتوفر بجميع المقاسات لتناسب جميع الأذواق.
صناعة وطنية متميزة بإيادي محترفة، مع قماش جوخ دبل فيس عالي الجودة.
اختار من بين مجموعة متنوعة من الألوان لتجد الأنسب لك.
تصميم مريح يسمح بارتداءه على الوجهين.
مع جيوب جانبية تميز كل إطلالة.","
S
M
L
XL
XXL
XXXL"
https://mlika-sa.com/wWgnOwX,https://cdn.salla.sa/nBKV/175dba51-09ad-498a-a8f6-8a4c5a0e1bad-500x500-kRn5kQcYOfjv91m3hDJsaZwNIGU4DdM2wCQKeQQm.jpg,وشاح شتوي بالاسم,170 SAR,"وشاح شتوي أنيق ودافئ مصنوع بعناية من أفخم أنواع الصوف ليضفي لمسة من الأناقة والدفء على إطلالتك.

مواصفات المنتج:

يتوفر بمجموعة متنوعة من الألوان لتناسب جميع الأذواق.
إمكانية تخصيص الوشاح بكتابة الاسم بأي لغة تختارها.
مصنوع من قماش صوف مبطن عالي الجودة لضمان الراحة والدفء.
مقاس موحد يناسب الجميع.","
اسود
بني
رمادي
عنابي
بيج فاتح"
https://mlika-sa.com/ePXxBYp,https://cdn.salla.sa/nBKV/60b3f8f6-8e43-4b8b-b6a4-4f64dd4410a5-500x500-KzD8tkwKaikjq1XPy5KlEI6bEFojWGYoC4SVQZpB.jpg,شال شتوي انيق بالاسم,160 SAR,"شال شتوي أنيق يجمع بين الفخامة والدفء، مصمم بعناية ليمنحك إطلالة مميزة في الأجواء الباردة، مع لمسة من الرقي الذي يكمل أناقتك.

يجمع بين الدفء والأناقة في تصميم فريد!","
زيتي
عنابي
رصاصي
احمر
بيج
ازرق
وردي"
https://mlika-sa.com/ZYOWmjW,https://cdn.salla.sa/nBKV/f80740cb-019b-4a29-82c0-d46350a93e67-375x500-6fOsr7Ck7Kzn5uDQHXS3MlOCmMEHGUg3SzKNdTuN.jpg,شال شتوي بالاسم,170 SAR,"🧣 شال صوف نسائي شتوي مميز 🤩
مقاس موحد ☑️
تطريز مخصص حسب ذوقك 🎨
مجموعة ألوان رائعة 🌈

يجمع بين الدفء والأناقة في تصميم فريد!","
نعم
لا"
https://mlika-sa.com/pQyeeoP,https://cdn.salla.sa/nBKV/551b94be-5559-4586-b5ce-f354b2dd7a4a-375x500-2XhiY6VJgcf49jZkjREanP7s8lGursNUPbSCdcXC.jpg,بلوفر مخصص بالاسم والتاريخ,160 SAR,"أضف لمستك الخاصة مع هودي الاسم والتاريخ – خيارك المثالي للأناقة والإهداء، هودي بخامة قطنية ناعمة ومريحة، مع إمكانية تخصيص الاسم والتاريخ بأسلوبك الخاص، ليجمع بين التميز والرقي.

تفاصيل المنتج:","
اسود
ابيض
رصاصي
بيج"
https://mlika-sa.com/lGjDWXx,https://cdn.salla.sa/nBKV/d5de9454-28e8-4ea7-915f-40627c17d7bc-334x500-lx6QxoXtQJsJOqv9tZZ1xkFxiBTF6rlZUDWbZZlN.jpg,سديري رجالي سنقل فيس قلاب صوف,180 SAR,"سديري رجالي :
من متجر ملكة صنعت لإجلكم
صناعة يدوية جودة عالية
تصميم مميز وأنيق
مصنوع من أجود أنواع الجوخ

للتغيير لونين مختلفين

مع جيوب جانبية كما موضح فالصورة
مناسبة لجميع الاعمار والمناسبات
اختيار المقاسات على حسب الطلب","
S
M
L
XL
XXL
XXXL"
https://mlika-sa.com/zvWYBYE,https://cdn.salla.sa/nBKV/945adcc3-cc0d-4ce7-bc02-f7c2bb1ac052-375x500-3bN17QYwmPVsEudAdeiV5IKtETDUMrIkHRKDBpYl.jpg,شال شتوي بالاسم,170 SAR,"🧣 شال صوف نسائي شتوي مميز 🤩
مقاس موحد ☑️
تطريز مخصص حسب ذوقك 🎨
مجموعة ألوان رائعة 🌈

يجمع بين الدفء والأناقة في تصميم فريد!","
نعم
لا"
https://mlika-sa.com/zvWyKEq,https://cdn.salla.sa/nBKV/7d4031fc-da0e-41f8-be85-62386e60b9b1-375x500-ia6mZewO3e0SrpqScjB9ScMTj5Mc8oHjYYFgUncD.jpg,سديري رجالي دبل فيس لون كحلي مع رمادي,170 SAR,"سديري رجالي:
من متجر ملكة، صُنع خصيصًا لإرضائكم.

صناعة يدوية عالية الجودة
تصميم أنيق ومميز
مصنوع من أفخم أنواع الجوخ
قابل للارتداء من الجهتين
اختيار لوني مميز لتجديد إطلالتك

مزود بجيوب جانبية عملية كما هو موضح في الصورة
مناسب لجميع الأعمار والمناسبات
اختيار المقاس حسب الطلب","
S
M
L
XL
XXL
XXXL"
https://mlika-sa.com/RABgmEw,https://cdn.salla.sa/nBKV/892b775d-a7b4-4bb2-89c3-c4165fb97d5c-375x500-TU1QZ6oQgQRc4m0u6FGYaJD31wtp7Gd5JeUUcNOL.jpg,شال شتوي بالاسم,170 SAR,"🧣 شال صوف نسائي شتوي مميز 🤩
مقاس موحد ☑️
تطريز مخصص حسب ذوقك 🎨
مجموعة ألوان رائعة 🌈

يجمع بين الدفء والأناقة في تصميم فريد!","
نعم
لا"
https://mlika-sa.com/mQBxOnY,https://cdn.salla.sa/nBKV/e373342d-1ce8-41c2-b3ae-d9b93d0204c6-500x500-DOXj1z9Kg3SkcOzxXOAvQSsAVUsXhqhBqMzsZQn4.jpg,شال شتوي بالاسم,170 SAR,"🧣 شال صوف نسائي شتوي مميز 🤩
مقاس موحد ☑️
تطريز مخصص حسب ذوقك 🎨
مجموعة ألوان رائعة 🌈

يجمع بين الدفء والأناقة في تصميم فريد!","
نعم
لا"
https://mlika-sa.com/ydayzGN,https://cdn.salla.sa/nBKV/df07bd95-2808-4a08-80b7-a4a433e50c95-500x500-enE71CamkxIkWfIwBNxGmdtOL9Dp6a1zdC7Xwgh5.jpg,جاكيت دبل فيس رجالي,190 SAR,"جاكيت شتوي أنيق يعكس الطابع السعودي بلمسة عصرية. مريح ودافئ، مناسب للشتاء والمناسبات اليومية والرسمية.
يُلبس على الجهتين لإطلالات متنوعة.
خامة جوخ عالية الجودة للراحة والدفء.
متوفر بألوان متعددة لتناسب ذوقك.
منتج يُجهز خصيصًا لك ليعكس ذوقك الشخصي.

إضافة مميزة لدولابك الشتوي تعزز من أناقتك","
S
M
L
XL
2XL
3XL"
https://mlika-sa.com/ZYOWmpD,https://cdn.salla.sa/nBKV/bcd149e3-fbda-4e40-bee4-0e972e320c07-375x500-WV5dT3UVQXhAdhbGRgGGc9vd3783MfItbjiU9y6y.jpg,شال شتوي بالاسم,149 SAR,"🧣 شال صوف نسائي شتوي مميز 🤩
مقاس موحد ☑️
تطريز مخصص حسب ذوقك 🎨
مجموعة ألوان رائعة 🌈

يجمع بين الدفء والأناقة في تصميم فريد!","
نعم
لا"
https://mlika-sa.com/xAKoEpY,https://cdn.salla.sa/nBKV/9575d84f-86e8-473b-b05f-24a3b8480312-350.5x500-6zSGKAGo7cEZHGpYUElhL1KGrqE0uz1QJZ4sZpu1.jpg,سديري شتوي قلاب من داخل فرو,180 SAR,أضف لمسة من الفخامة والرقي إلى إطلالتك الشتوية مع سديري رجالي من الجوخ الفاخر، مصنوع يدويًا بجودة عالية وتصميم مميز يناسب جميع الأعمار والمناسبات. اختيار مثالي لإطلالة شتوية فاخرة وأنيقة.,"
S
M
L
XL
XXL
XXXL"
https://mlika-sa.com/OqYRpaw,https://cdn.salla.sa/nBKV/iQy6hWEexp3mou6DbM2lkCtWNQXAk8b0cbdpdgzr.jpg,سديري جوخ كحلي - بيج,199 SAR,"سديري جوخ رجالي – تصميم فاخر يجمع بين الأصالة والعصرية، قابل للارتداء على الجهتين لإطلالات متعددة. مصنوع من جوخ عالي الجودة ليمنحك الدفء والأناقة، ويأتي بتغليف أنيق ليكون خيارًا مثاليًا للإهداء.

تفاصيل المنتج:
جوخ فاخر بجودة عالية.
تصميم مزدوج لإطلالات متنوعة.
جيوب جانبية عملية.
مثالي للإهداء.","
S
M
L
XL
2XL
3XL"
